| Metric | Baseline | Candidate | Change |
|---|---:|---:|---:|
| `representative_combat.idle.frame_interval_ms.median` | 8.321 | 8.334 | +0.2% |
| `representative_combat.idle.frame_interval_ms.p95` | 8.862 | 8.821 | -0.5% |
| `representative_combat.idle.frame_interval_ms.p99` | 8.990 | 8.944 | -0.5% |
| `representative_combat.idle.frame_interval_ms.max` | 388.829 | 390.424 | +0.4% |
| `representative_combat.idle.frames_over_16_67_ms` | 1.000 | 1.000 | +0.0% |
| `representative_combat.idle.frames_over_33_33_ms` | 1.000 | 1.000 | +0.0% |
| `representative_combat.idle.draw_calls.median` | 719.000 | 721.000 | +0.3% |
| `representative_combat.idle.draw_calls.max` | 719.000 | 721.000 | +0.3% |
| `representative_combat.movement_pool_action.frame_interval_ms.median` | 8.341 | 8.337 | -0.0% |
| `representative_combat.movement_pool_action.frame_interval_ms.p95` | 8.529 | 8.609 | +0.9% |
| `representative_combat.movement_pool_action.frame_interval_ms.p99` | 23.091 | 33.848 | +46.6% |
| `representative_combat.movement_pool_action.frame_interval_ms.max` | 23.091 | 33.848 | +46.6% |
| `representative_combat.movement_pool_action.frames_over_16_67_ms` | 2.000 | 2.000 | +0.0% |
| `representative_combat.movement_pool_action.frames_over_33_33_ms` | 0.000 | 1.000 | n/a |
| `representative_combat.movement_pool_action.action_completion_ms` | 614.777 | 622.909 | +1.3% |
| `representative_combat.movement_pool_action.draw_calls.median` | 853.000 | 853.000 | +0.0% |
| `representative_combat.movement_pool_action.draw_calls.max` | 974.000 | 1741.000 | +78.7% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.median` | 8.334 | 8.336 | +0.0% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.p95` | 8.629 | 8.568 | -0.7% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.p99` | 9.105 | 9.465 | +4.0% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.max` | 27.489 | 30.082 | +9.4% |
| `representative_combat.enemy_round_matrix.specialists.frames_over_16_67_ms` | 2.000 | 5.000 | +150.0% |
| `representative_combat.enemy_round_matrix.specialists.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
