| Metric | Baseline | Candidate | Change |
|---|---:|---:|---:|
| `runtime_frame.idle.frame_interval_ms.median` | 8.364 | 8.348 | -0.2% |
| `runtime_frame.idle.frame_interval_ms.p95` | 8.470 | 8.518 | +0.6% |
| `runtime_frame.idle.render_setup_cpu_ms.median` | 0.021 | 0.022 | +4.8% |
| `runtime_frame.idle.viewport_render_cpu_ms.median` | 0.569 | 0.583 | +2.5% |
| `runtime_frame.idle.frames_over_16_67_ms` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.median` | 6.281 | 6.167 | -1.8% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.p95` | 6.281 | 6.167 | -1.8% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.median` | 0.225 | 0.224 | -0.4% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.p95` | 0.225 | 0.224 | -0.4% |
| `runtime_frame.cold_interaction.rendered_frames.frame_interval_ms.p95` | 14.308 | 15.162 | +6.0% |
| `runtime_frame.cold_interaction.rendered_frames.frames_over_16_67_ms` | 0.000 | 1.000 | n/a |
| `runtime_frame.card_click_handler.duration_ms.median` | 6.151 | 6.217 | +1.1% |
| `runtime_frame.card_click_handler.duration_ms.p95` | 6.467 | 6.362 | -1.6% |
| `runtime_frame.card_click_frame_completion.duration_ms.p95` | 202.041 | 198.436 | -1.8% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.median` | 0.123 | 0.113 | -8.1% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.p95` | 0.230 | 0.250 | +8.7% |
| `runtime_frame.cold_preview_hover_frame_completion.duration_ms.p95` | 21.698 | 22.184 | +2.2% |
| `runtime_frame.cold_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.preview_hover_handler.duration_ms.median` | 0.113 | 0.114 | +0.9% |
| `runtime_frame.preview_hover_handler.duration_ms.p95` | 0.192 | 0.206 | +7.3% |
| `runtime_frame.preview_hover_frame_completion.duration_ms.p95` | 21.324 | 21.034 | -1.4% |
| `runtime_frame.warm_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.target_step_completion.duration_ms.p95` | 3370.640 | 3336.449 | -1.0% |
| `runtime_frame.action_completion.duration_ms.p95` | 3376.446 | 3343.889 | -1.0% |
| `runtime_frame.action_play.frame_interval_ms.median` | 8.349 | 8.358 | +0.1% |
| `runtime_frame.action_play.frame_interval_ms.p95` | 8.887 | 12.097 | +36.1% |
| `runtime_frame.action_play.render_setup_cpu_ms.median` | 0.022 | 0.022 | +0.0% |
