| Metric | Baseline | Candidate | Change |
|---|---:|---:|---:|
| `representative_combat.idle.frame_interval_ms.median` | 8.327 | 8.373 | +0.6% |
| `representative_combat.idle.frame_interval_ms.p95` | 8.995 | 8.992 | -0.0% |
| `representative_combat.idle.frame_interval_ms.p99` | 9.122 | 9.180 | +0.6% |
| `representative_combat.idle.frame_interval_ms.max` | 388.270 | 387.422 | -0.2% |
| `representative_combat.idle.frames_over_16_67_ms` | 1.000 | 1.000 | +0.0% |
| `representative_combat.idle.frames_over_33_33_ms` | 1.000 | 1.000 | +0.0% |
| `representative_combat.idle.draw_calls.median` | 1036.000 | 1039.000 | +0.3% |
| `representative_combat.idle.draw_calls.max` | 1041.000 | 1041.000 | +0.0% |
| `representative_combat.movement_pool_action.frame_interval_ms.median` | 8.329 | 8.308 | -0.3% |
| `representative_combat.movement_pool_action.frame_interval_ms.p95` | 9.221 | 8.684 | -5.8% |
| `representative_combat.movement_pool_action.frame_interval_ms.p99` | 28.853 | 26.890 | -6.8% |
| `representative_combat.movement_pool_action.frame_interval_ms.max` | 28.853 | 26.890 | -6.8% |
| `representative_combat.movement_pool_action.frames_over_16_67_ms` | 2.000 | 2.000 | +0.0% |
| `representative_combat.movement_pool_action.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
| `representative_combat.movement_pool_action.action_completion_ms` | 614.308 | 614.296 | -0.0% |
| `representative_combat.movement_pool_action.draw_calls.median` | 1175.000 | 1176.000 | +0.1% |
| `representative_combat.movement_pool_action.draw_calls.max` | 1301.000 | 1299.000 | -0.2% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.median` | 8.332 | 8.333 | +0.0% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.p95` | 8.765 | 8.795 | +0.3% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.p99` | 14.646 | 14.352 | -2.0% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.max` | 26.843 | 25.800 | -3.9% |
| `representative_combat.enemy_round_matrix.specialists.frames_over_16_67_ms` | 4.000 | 4.000 | +0.0% |
| `representative_combat.enemy_round_matrix.specialists.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
| `representative_combat.enemy_round_matrix.specialists.total_ms` | 14715.403 | 14932.846 | +1.5% |
| `representative_combat.enemy_round_matrix.specialists.draw_calls.median` | 663.000 | 661.000 | -0.3% |
| `representative_combat.enemy_round_matrix.specialists.draw_calls.max` | 1168.000 | 1167.000 | -0.1% |
| `representative_combat.action_matrix.pale_spark.frame_interval_ms.median` | 8.339 | 8.328 | -0.1% |
| `representative_combat.action_matrix.pale_spark.frame_interval_ms.p95` | 8.462 | 8.520 | +0.7% |
| `representative_combat.action_matrix.pale_spark.frame_interval_ms.p99` | 19.552 | 15.316 | -21.7% |
| `representative_combat.action_matrix.pale_spark.frame_interval_ms.max` | 36.442 | 32.050 | -12.1% |
| `representative_combat.action_matrix.pale_spark.frames_over_16_67_ms` | 2.000 | 1.000 | -50.0% |
| `representative_combat.action_matrix.pale_spark.frames_over_33_33_ms` | 1.000 | 0.000 | -100.0% |
| `representative_combat.action_matrix.pale_spark.action_completion_ms` | 1586.005 | 1582.861 | -0.2% |
| `representative_combat.action_matrix.pale_spark.draw_calls.median` | 633.000 | 633.000 | +0.0% |
| `representative_combat.action_matrix.pale_spark.draw_calls.max` | 1006.000 | 1002.000 | -0.4% |
| `representative_combat.action_matrix.sidestep_slash.frame_interval_ms.median` | 8.336 | 8.328 | -0.1% |
| `representative_combat.action_matrix.sidestep_slash.frame_interval_ms.p95` | 9.987 | 9.465 | -5.2% |
| `representative_combat.action_matrix.sidestep_slash.frame_interval_ms.p99` | 19.744 | 15.705 | -20.5% |
| `representative_combat.action_matrix.sidestep_slash.frame_interval_ms.max` | 23.805 | 18.757 | -21.2% |
| `representative_combat.action_matrix.sidestep_slash.frames_over_16_67_ms` | 3.000 | 2.000 | -33.3% |
| `representative_combat.action_matrix.sidestep_slash.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
| `representative_combat.action_matrix.sidestep_slash.action_completion_ms` | 2336.588 | 2322.432 | -0.6% |
| `representative_combat.action_matrix.sidestep_slash.draw_calls.median` | 724.000 | 728.000 | +0.6% |
| `representative_combat.action_matrix.sidestep_slash.draw_calls.max` | 999.000 | 1004.000 | +0.5% |
| `representative_combat.action_matrix.glowstone_ward.frame_interval_ms.median` | 8.329 | 8.347 | +0.2% |
| `representative_combat.action_matrix.glowstone_ward.frame_interval_ms.p95` | 8.467 | 8.525 | +0.7% |
| `representative_combat.action_matrix.glowstone_ward.frame_interval_ms.p99` | 10.285 | 9.976 | -3.0% |
| `representative_combat.action_matrix.glowstone_ward.frame_interval_ms.max` | 22.086 | 18.204 | -17.6% |
| `representative_combat.action_matrix.glowstone_ward.frames_over_16_67_ms` | 2.000 | 2.000 | +0.0% |
| `representative_combat.action_matrix.glowstone_ward.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
| `representative_combat.action_matrix.glowstone_ward.action_completion_ms` | 1674.650 | 1682.224 | +0.5% |
| `representative_combat.action_matrix.glowstone_ward.draw_calls.median` | 640.000 | 640.000 | +0.0% |
| `representative_combat.action_matrix.glowstone_ward.draw_calls.max` | 987.000 | 992.000 | +0.5% |
| `representative_combat.action_matrix.gust_step.frame_interval_ms.median` | 8.334 | 8.337 | +0.0% |
| `representative_combat.action_matrix.gust_step.frame_interval_ms.p95` | 8.491 | 8.603 | +1.3% |
| `representative_combat.action_matrix.gust_step.frame_interval_ms.p99` | 17.973 | 17.057 | -5.1% |
| `representative_combat.action_matrix.gust_step.frame_interval_ms.max` | 22.785 | 19.844 | -12.9% |
| `representative_combat.action_matrix.gust_step.frames_over_16_67_ms` | 3.000 | 3.000 | +0.0% |
| `representative_combat.action_matrix.gust_step.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
| `representative_combat.action_matrix.gust_step.action_completion_ms` | 1919.543 | 1915.855 | -0.2% |
| `representative_combat.action_matrix.gust_step.draw_calls.median` | 684.000 | 689.000 | +0.7% |
| `representative_combat.action_matrix.gust_step.draw_calls.max` | 1061.000 | 1063.000 | +0.2% |
| `representative_combat.action_matrix.wildfire_halo.frame_interval_ms.median` | 8.335 | 8.340 | +0.1% |
| `representative_combat.action_matrix.wildfire_halo.frame_interval_ms.p95` | 8.925 | 8.868 | -0.6% |
| `representative_combat.action_matrix.wildfire_halo.frame_interval_ms.p99` | 11.221 | 12.815 | +14.2% |
| `representative_combat.action_matrix.wildfire_halo.frame_interval_ms.max` | 36.401 | 31.623 | -13.1% |
| `representative_combat.action_matrix.wildfire_halo.frames_over_16_67_ms` | 2.000 | 1.000 | -50.0% |
| `representative_combat.action_matrix.wildfire_halo.frames_over_33_33_ms` | 1.000 | 0.000 | -100.0% |
| `representative_combat.action_matrix.wildfire_halo.action_completion_ms` | 2416.316 | 2414.311 | -0.1% |
| `representative_combat.action_matrix.wildfire_halo.draw_calls.median` | 742.000 | 742.000 | +0.0% |
