| Metric | Baseline | Candidate | Change |
|---|---:|---:|---:|
| `runtime_frame.idle.frame_interval_ms.median` | 8.370 | 8.380 | +0.1% |
| `runtime_frame.idle.frame_interval_ms.p95` | 9.139 | 9.152 | +0.1% |
| `runtime_frame.idle.render_setup_cpu_ms.median` | 0.008 | 0.008 | +0.0% |
| `runtime_frame.idle.viewport_render_cpu_ms.median` | 0.446 | 0.451 | +1.1% |
| `runtime_frame.idle.frames_over_16_67_ms` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.median` | 6.153 | 6.611 | +7.4% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.p95` | 6.153 | 6.611 | +7.4% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.median` | 0.232 | 0.254 | +9.5% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.p95` | 0.232 | 0.254 | +9.5% |
| `runtime_frame.cold_interaction.rendered_frames.frame_interval_ms.p95` | 13.560 | 13.765 | +1.5% |
| `runtime_frame.cold_interaction.rendered_frames.frames_over_16_67_ms` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.card_click_handler.duration_ms.median` | 5.091 | 5.216 | +2.5% |
| `runtime_frame.card_click_handler.duration_ms.p95` | 6.699 | 7.561 | +12.9% |
| `runtime_frame.card_click_frame_completion.duration_ms.p95` | 182.996 | 184.917 | +1.0% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.median` | 0.111 | 0.128 | +15.3% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.p95` | 0.277 | 0.260 | -6.1% |
| `runtime_frame.cold_preview_hover_frame_completion.duration_ms.p95` | 15.999 | 15.570 | -2.7% |
| `runtime_frame.cold_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.preview_hover_handler.duration_ms.median` | 0.105 | 0.113 | +7.6% |
| `runtime_frame.preview_hover_handler.duration_ms.p95` | 0.200 | 0.225 | +12.5% |
| `runtime_frame.preview_hover_frame_completion.duration_ms.p95` | 14.510 | 14.346 | -1.1% |
| `runtime_frame.warm_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.target_step_completion.duration_ms.p95` | 1358.588 | 1348.088 | -0.8% |
| `runtime_frame.action_completion.duration_ms.p95` | 1366.226 | 1350.204 | -1.2% |
| `runtime_frame.action_play.frame_interval_ms.median` | 8.344 | 8.366 | +0.3% |
| `runtime_frame.action_play.frame_interval_ms.p95` | 9.653 | 9.875 | +2.3% |
| `runtime_frame.action_play.render_setup_cpu_ms.median` | 0.010 | 0.010 | +0.0% |
| `runtime_frame.action_play.viewport_render_cpu_ms.median` | 0.426 | 0.430 | +0.9% |
| `runtime_frame.action_play.frames_over_16_67_ms` | 11.000 | 9.000 | -18.2% |
| `runtime_frame.action_play.frames_over_33_33_ms` | 3.000 | 1.000 | -66.7% |
| `runtime_frame.static_memory_bytes` | 342294435.000 | 342628774.000 | +0.1% |
