| Metric | Baseline | Candidate | Change |
|---|---:|---:|---:|
| `runtime_frame.idle.frame_interval_ms.median` | 8.371 | 8.384 | +0.2% |
| `runtime_frame.idle.frame_interval_ms.p95` | 9.133 | 8.685 | -4.9% |
| `runtime_frame.idle.render_setup_cpu_ms.median` | 0.007 | 0.007 | +0.0% |
| `runtime_frame.idle.viewport_render_cpu_ms.median` | 0.455 | 0.443 | -2.6% |
| `runtime_frame.idle.frames_over_16_67_ms` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.median` | 8.013 | 6.117 | -23.7% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.p95` | 8.013 | 6.117 | -23.7% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.median` | 0.275 | 0.234 | -14.9% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.p95` | 0.275 | 0.234 | -14.9% |
| `runtime_frame.cold_interaction.rendered_frames.frame_interval_ms.p95` | 16.654 | 12.268 | -26.3% |
| `runtime_frame.cold_interaction.rendered_frames.frames_over_16_67_ms` | 1.000 | 0.000 | -100.0% |
| `runtime_frame.card_click_handler.duration_ms.median` | 5.143 | 4.928 | -4.2% |
| `runtime_frame.card_click_handler.duration_ms.p95` | 7.471 | 6.832 | -8.6% |
| `runtime_frame.card_click_frame_completion.duration_ms.p95` | 182.056 | 179.863 | -1.2% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.median` | 0.153 | 0.112 | -26.8% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.p95` | 0.260 | 0.255 | -1.9% |
| `runtime_frame.cold_preview_hover_frame_completion.duration_ms.p95` | 15.894 | 15.496 | -2.5% |
| `runtime_frame.cold_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.preview_hover_handler.duration_ms.median` | 0.119 | 0.103 | -13.4% |
| `runtime_frame.preview_hover_handler.duration_ms.p95` | 0.195 | 0.207 | +6.2% |
| `runtime_frame.preview_hover_frame_completion.duration_ms.p95` | 14.149 | 14.229 | +0.6% |
| `runtime_frame.warm_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.target_step_completion.duration_ms.p95` | 1350.650 | 1351.537 | +0.1% |
| `runtime_frame.action_completion.duration_ms.p95` | 1357.826 | 1358.255 | +0.0% |
| `runtime_frame.action_play.frame_interval_ms.median` | 8.344 | 8.328 | -0.2% |
| `runtime_frame.action_play.frame_interval_ms.p95` | 9.833 | 9.820 | -0.1% |
| `runtime_frame.action_play.render_setup_cpu_ms.median` | 0.009 | 0.011 | +22.2% |
| `runtime_frame.action_play.viewport_render_cpu_ms.median` | 0.453 | 0.451 | -0.4% |
| `runtime_frame.action_play.frames_over_16_67_ms` | 8.000 | 8.000 | +0.0% |
| `runtime_frame.action_play.frames_over_33_33_ms` | 1.000 | 0.000 | -100.0% |
| `runtime_frame.static_memory_bytes` | 342242910.000 | 342660850.000 | +0.1% |
