| Metric | Baseline | Candidate | Change |
|---|---:|---:|---:|
| `runtime_frame.idle.frame_interval_ms.median` | 8.363 | 8.345 | -0.2% |
| `runtime_frame.idle.frame_interval_ms.p95` | 8.464 | 8.514 | +0.6% |
| `runtime_frame.idle.render_setup_cpu_ms.median` | 0.021 | 0.019 | -9.5% |
| `runtime_frame.idle.viewport_render_cpu_ms.median` | 0.581 | 0.541 | -6.9% |
| `runtime_frame.idle.frames_over_16_67_ms` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.median` | 6.681 | 6.087 | -8.9% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.p95` | 6.681 | 6.087 | -8.9% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.median` | 0.237 | 0.244 | +3.0% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.p95` | 0.237 | 0.244 | +3.0% |
| `runtime_frame.cold_interaction.rendered_frames.frame_interval_ms.p95` | 18.798 | 14.543 | -22.6% |
| `runtime_frame.cold_interaction.rendered_frames.frames_over_16_67_ms` | 2.000 | 1.000 | -50.0% |
| `runtime_frame.card_click_handler.duration_ms.median` | 5.103 | 5.003 | -2.0% |
| `runtime_frame.card_click_handler.duration_ms.p95` | 6.823 | 6.794 | -0.4% |
| `runtime_frame.card_click_frame_completion.duration_ms.p95` | 179.517 | 181.708 | +1.2% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.median` | 0.118 | 0.113 | -4.2% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.p95` | 0.291 | 0.293 | +0.7% |
| `runtime_frame.cold_preview_hover_frame_completion.duration_ms.p95` | 18.104 | 18.444 | +1.9% |
| `runtime_frame.cold_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.preview_hover_handler.duration_ms.median` | 0.112 | 0.115 | +2.7% |
| `runtime_frame.preview_hover_handler.duration_ms.p95` | 0.189 | 0.174 | -7.9% |
| `runtime_frame.preview_hover_frame_completion.duration_ms.p95` | 15.793 | 16.054 | +1.7% |
| `runtime_frame.warm_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.target_step_completion.duration_ms.p95` | 2569.068 | 2541.047 | -1.1% |
| `runtime_frame.action_completion.duration_ms.p95` | 2573.546 | 2547.677 | -1.0% |
| `runtime_frame.action_play.frame_interval_ms.median` | 8.360 | 8.361 | +0.0% |
| `runtime_frame.action_play.frame_interval_ms.p95` | 12.077 | 10.883 | -9.9% |
| `runtime_frame.action_play.render_setup_cpu_ms.median` | 0.020 | 0.021 | +5.0% |
| `runtime_frame.action_play.viewport_render_cpu_ms.median` | 0.386 | 0.379 | -1.8% |
| `runtime_frame.action_play.frames_over_16_67_ms` | 27.000 | 27.000 | +0.0% |
| `runtime_frame.action_play.frames_over_33_33_ms` | 2.000 | 1.000 | -50.0% |
| `runtime_frame.static_memory_bytes` | 346620776.000 | 347195483.000 | +0.2% |
