| Metric | Baseline | Candidate | Change |
|---|---:|---:|---:|
| `runtime_frame.idle.frame_interval_ms.median` | 8.353 | 8.361 | +0.1% |
| `runtime_frame.idle.frame_interval_ms.p95` | 8.507 | 8.464 | -0.5% |
| `runtime_frame.idle.render_setup_cpu_ms.median` | 0.018 | 0.021 | +16.7% |
| `runtime_frame.idle.viewport_render_cpu_ms.median` | 0.527 | 0.581 | +10.2% |
| `runtime_frame.idle.frames_over_16_67_ms` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.median` | 6.229 | 6.182 | -0.8% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.p95` | 6.229 | 6.182 | -0.8% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.median` | 0.248 | 0.238 | -4.0% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.p95` | 0.248 | 0.238 | -4.0% |
| `runtime_frame.cold_interaction.rendered_frames.frame_interval_ms.p95` | 18.012 | 15.502 | -13.9% |
| `runtime_frame.cold_interaction.rendered_frames.frames_over_16_67_ms` | 2.000 | 1.000 | -50.0% |
| `runtime_frame.card_click_handler.duration_ms.median` | 5.087 | 5.166 | +1.6% |
| `runtime_frame.card_click_handler.duration_ms.p95` | 7.098 | 6.989 | -1.5% |
| `runtime_frame.card_click_frame_completion.duration_ms.p95` | 183.293 | 180.612 | -1.5% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.median` | 0.124 | 0.115 | -7.3% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.p95` | 0.282 | 0.272 | -3.5% |
| `runtime_frame.cold_preview_hover_frame_completion.duration_ms.p95` | 17.428 | 18.663 | +7.1% |
| `runtime_frame.cold_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.preview_hover_handler.duration_ms.median` | 0.119 | 0.117 | -1.7% |
| `runtime_frame.preview_hover_handler.duration_ms.p95` | 0.187 | 0.209 | +11.8% |
| `runtime_frame.preview_hover_frame_completion.duration_ms.p95` | 16.078 | 15.894 | -1.1% |
| `runtime_frame.warm_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.target_step_completion.duration_ms.p95` | 2536.708 | 2539.290 | +0.1% |
| `runtime_frame.action_completion.duration_ms.p95` | 2543.628 | 2547.644 | +0.2% |
| `runtime_frame.action_play.frame_interval_ms.median` | 8.365 | 8.347 | -0.2% |
| `runtime_frame.action_play.frame_interval_ms.p95` | 10.788 | 9.182 | -14.9% |
| `runtime_frame.action_play.render_setup_cpu_ms.median` | 0.021 | 0.021 | +0.0% |
| `runtime_frame.action_play.viewport_render_cpu_ms.median` | 0.383 | 0.380 | -0.8% |
| `runtime_frame.action_play.frames_over_16_67_ms` | 23.000 | 24.000 | +4.3% |
| `runtime_frame.action_play.frames_over_33_33_ms` | 1.000 | 0.000 | -100.0% |
| `runtime_frame.static_memory_bytes` | 346549208.000 | 347022596.000 | +0.1% |
