| Metric | Baseline | Candidate | Change |
|---|---:|---:|---:|
| `representative_combat.idle.frame_interval_ms.median` | 8.330 | 8.334 | +0.0% |
| `representative_combat.idle.frame_interval_ms.p95` | 8.758 | 8.799 | +0.5% |
| `representative_combat.idle.frame_interval_ms.p99` | 9.031 | 8.882 | -1.6% |
| `representative_combat.idle.frame_interval_ms.max` | 391.278 | 387.452 | -1.0% |
| `representative_combat.idle.frames_over_16_67_ms` | 1.000 | 1.000 | +0.0% |
| `representative_combat.idle.frames_over_33_33_ms` | 1.000 | 1.000 | +0.0% |
| `representative_combat.idle.draw_calls.median` | 715.000 | 715.000 | +0.0% |
| `representative_combat.idle.draw_calls.max` | 719.000 | 719.000 | +0.0% |
| `representative_combat.movement_pool_action.frame_interval_ms.median` | 8.331 | 8.324 | -0.1% |
| `representative_combat.movement_pool_action.frame_interval_ms.p95` | 8.559 | 8.545 | -0.2% |
| `representative_combat.movement_pool_action.frame_interval_ms.p99` | 23.636 | 23.764 | +0.5% |
| `representative_combat.movement_pool_action.frame_interval_ms.max` | 23.636 | 23.764 | +0.5% |
| `representative_combat.movement_pool_action.frames_over_16_67_ms` | 2.000 | 2.000 | +0.0% |
| `representative_combat.movement_pool_action.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
| `representative_combat.movement_pool_action.action_completion_ms` | 614.712 | 613.959 | -0.1% |
| `representative_combat.movement_pool_action.draw_calls.median` | 853.000 | 853.000 | +0.0% |
| `representative_combat.movement_pool_action.draw_calls.max` | 970.000 | 970.000 | +0.0% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.median` | 8.336 | 8.329 | -0.1% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.p95` | 8.651 | 8.632 | -0.2% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.p99` | 9.414 | 9.310 | -1.1% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.max` | 30.532 | 27.682 | -9.3% |
| `representative_combat.enemy_round_matrix.specialists.frames_over_16_67_ms` | 2.000 | 4.000 | +100.0% |
| `representative_combat.enemy_round_matrix.specialists.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
| `representative_combat.enemy_round_matrix.specialists.total_ms` | 9523.161 | 9540.415 | +0.2% |
| `representative_combat.enemy_round_matrix.specialists.draw_calls.median` | 362.000 | 361.000 | -0.3% |
| `representative_combat.enemy_round_matrix.specialists.draw_calls.max` | 976.000 | 977.000 | +0.1% |
| `representative_combat.action_matrix.pale_spark.frame_interval_ms.median` | 8.329 | 8.332 | +0.0% |
| `representative_combat.action_matrix.pale_spark.frame_interval_ms.p95` | 8.772 | 8.714 | -0.7% |
| `representative_combat.action_matrix.pale_spark.frame_interval_ms.p99` | 18.027 | 14.336 | -20.5% |
| `representative_combat.action_matrix.pale_spark.frame_interval_ms.max` | 26.949 | 25.420 | -5.7% |
| `representative_combat.action_matrix.pale_spark.frames_over_16_67_ms` | 2.000 | 1.000 | -50.0% |
| `representative_combat.action_matrix.pale_spark.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
| `representative_combat.action_matrix.pale_spark.action_completion_ms` | 1583.967 | 1582.875 | -0.1% |
| `representative_combat.action_matrix.pale_spark.draw_calls.median` | 371.000 | 371.000 | +0.0% |
| `representative_combat.action_matrix.pale_spark.draw_calls.max` | 679.000 | 675.000 | -0.6% |
| `representative_combat.action_matrix.sidestep_slash.frame_interval_ms.median` | 8.336 | 8.333 | -0.0% |
| `representative_combat.action_matrix.sidestep_slash.frame_interval_ms.p95` | 8.506 | 8.489 | -0.2% |
| `representative_combat.action_matrix.sidestep_slash.frame_interval_ms.p99` | 17.678 | 13.717 | -22.4% |
| `representative_combat.action_matrix.sidestep_slash.frame_interval_ms.max` | 18.836 | 19.032 | +1.0% |
| `representative_combat.action_matrix.sidestep_slash.frames_over_16_67_ms` | 3.000 | 1.000 | -66.7% |
| `representative_combat.action_matrix.sidestep_slash.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
| `representative_combat.action_matrix.sidestep_slash.action_completion_ms` | 1844.246 | 1845.465 | +0.1% |
| `representative_combat.action_matrix.sidestep_slash.draw_calls.median` | 518.000 | 518.000 | +0.0% |
| `representative_combat.action_matrix.sidestep_slash.draw_calls.max` | 677.000 | 681.000 | +0.6% |
| `representative_combat.action_matrix.glowstone_ward.frame_interval_ms.median` | 8.332 | 8.339 | +0.1% |
| `representative_combat.action_matrix.glowstone_ward.frame_interval_ms.p95` | 8.740 | 8.758 | +0.2% |
| `representative_combat.action_matrix.glowstone_ward.frame_interval_ms.p99` | 11.727 | 9.137 | -22.1% |
| `representative_combat.action_matrix.glowstone_ward.frame_interval_ms.max` | 17.498 | 14.735 | -15.8% |
| `representative_combat.action_matrix.glowstone_ward.frames_over_16_67_ms` | 1.000 | 0.000 | -100.0% |
| `representative_combat.action_matrix.glowstone_ward.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
| `representative_combat.action_matrix.glowstone_ward.action_completion_ms` | 1682.620 | 1673.804 | -0.5% |
| `representative_combat.action_matrix.glowstone_ward.draw_calls.median` | 378.000 | 378.000 | +0.0% |
| `representative_combat.action_matrix.glowstone_ward.draw_calls.max` | 669.000 | 669.000 | +0.0% |
| `representative_combat.action_matrix.gust_step.frame_interval_ms.median` | 8.332 | 8.335 | +0.0% |
| `representative_combat.action_matrix.gust_step.frame_interval_ms.p95` | 8.809 | 8.638 | -1.9% |
| `representative_combat.action_matrix.gust_step.frame_interval_ms.p99` | 16.340 | 13.509 | -17.3% |
| `representative_combat.action_matrix.gust_step.frame_interval_ms.max` | 18.733 | 16.107 | -14.0% |
| `representative_combat.action_matrix.gust_step.frames_over_16_67_ms` | 2.000 | 0.000 | -100.0% |
| `representative_combat.action_matrix.gust_step.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
| `representative_combat.action_matrix.gust_step.action_completion_ms` | 1916.196 | 1916.249 | +0.0% |
| `representative_combat.action_matrix.gust_step.draw_calls.median` | 429.000 | 425.000 | -0.9% |
| `representative_combat.action_matrix.gust_step.draw_calls.max` | 739.000 | 735.000 | -0.5% |
| `representative_combat.action_matrix.wildfire_halo.frame_interval_ms.median` | 8.324 | 8.331 | +0.1% |
| `representative_combat.action_matrix.wildfire_halo.frame_interval_ms.p95` | 8.713 | 8.706 | -0.1% |
| `representative_combat.action_matrix.wildfire_halo.frame_interval_ms.p99` | 10.835 | 9.812 | -9.4% |
| `representative_combat.action_matrix.wildfire_halo.frame_interval_ms.max` | 26.755 | 25.065 | -6.3% |
