| Metric | Baseline | Candidate | Change |
|---|---:|---:|---:|
| `runtime_frame.idle.frame_interval_ms.median` | 8.369 | 8.364 | -0.1% |
| `runtime_frame.idle.frame_interval_ms.p95` | 8.516 | 8.455 | -0.7% |
| `runtime_frame.idle.render_setup_cpu_ms.median` | 0.019 | 0.018 | -5.3% |
| `runtime_frame.idle.viewport_render_cpu_ms.median` | 0.520 | 0.548 | +5.4% |
| `runtime_frame.idle.frames_over_16_67_ms` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.median` | 6.777 | 6.092 | -10.1% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.p95` | 6.777 | 6.092 | -10.1% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.median` | 0.381 | 0.246 | -35.4% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.p95` | 0.381 | 0.246 | -35.4% |
| `runtime_frame.cold_interaction.rendered_frames.frame_interval_ms.p95` | 14.048 | 14.103 | +0.4% |
| `runtime_frame.cold_interaction.rendered_frames.frames_over_16_67_ms` | 1.000 | 0.000 | -100.0% |
| `runtime_frame.card_click_handler.duration_ms.median` | 6.001 | 6.162 | +2.7% |
| `runtime_frame.card_click_handler.duration_ms.p95` | 6.344 | 6.530 | +2.9% |
| `runtime_frame.card_click_frame_completion.duration_ms.p95` | 195.545 | 191.120 | -2.3% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.median` | 0.112 | 0.114 | +1.8% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.p95` | 0.228 | 0.224 | -1.8% |
| `runtime_frame.cold_preview_hover_frame_completion.duration_ms.p95` | 21.923 | 22.122 | +0.9% |
| `runtime_frame.cold_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.preview_hover_handler.duration_ms.median` | 0.116 | 0.117 | +0.9% |
| `runtime_frame.preview_hover_handler.duration_ms.p95` | 0.171 | 0.187 | +9.4% |
| `runtime_frame.preview_hover_frame_completion.duration_ms.p95` | 20.366 | 20.894 | +2.6% |
| `runtime_frame.warm_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.target_step_completion.duration_ms.p95` | 3353.562 | 3366.499 | +0.4% |
| `runtime_frame.action_completion.duration_ms.p95` | 3358.548 | 3374.662 | +0.5% |
| `runtime_frame.action_play.frame_interval_ms.median` | 8.352 | 8.351 | -0.0% |
