| Metric | Baseline | Candidate | Change |
|---|---:|---:|---:|
| `representative_combat.idle.frame_interval_ms.median` | 8.339 | 8.349 | +0.1% |
| `representative_combat.idle.frame_interval_ms.p95` | 8.902 | 9.027 | +1.4% |
| `representative_combat.idle.frame_interval_ms.p99` | 9.082 | 9.255 | +1.9% |
| `representative_combat.idle.frame_interval_ms.max` | 391.706 | 387.662 | -1.0% |
| `representative_combat.idle.frames_over_16_67_ms` | 1.000 | 1.000 | +0.0% |
| `representative_combat.idle.frames_over_33_33_ms` | 1.000 | 1.000 | +0.0% |
| `representative_combat.idle.draw_calls.median` | 1039.000 | 1036.000 | -0.3% |
| `representative_combat.idle.draw_calls.max` | 1041.000 | 1041.000 | +0.0% |
| `representative_combat.movement_pool_action.frame_interval_ms.median` | 8.321 | 8.318 | -0.0% |
| `representative_combat.movement_pool_action.frame_interval_ms.p95` | 8.593 | 8.678 | +1.0% |
| `representative_combat.movement_pool_action.frame_interval_ms.p99` | 27.341 | 27.458 | +0.4% |
| `representative_combat.movement_pool_action.frame_interval_ms.max` | 27.341 | 27.458 | +0.4% |
| `representative_combat.movement_pool_action.frames_over_16_67_ms` | 2.000 | 2.000 | +0.0% |
| `representative_combat.movement_pool_action.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
| `representative_combat.movement_pool_action.action_completion_ms` | 616.001 | 614.576 | -0.2% |
| `representative_combat.movement_pool_action.draw_calls.median` | 1174.000 | 1176.000 | +0.2% |
| `representative_combat.movement_pool_action.draw_calls.max` | 1291.000 | 1301.000 | +0.8% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.median` | 8.339 | 8.342 | +0.0% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.p95` | 8.886 | 8.844 | -0.5% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.p99` | 14.488 | 14.559 | +0.5% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.max` | 27.163 | 25.566 | -5.9% |
| `representative_combat.enemy_round_matrix.specialists.frames_over_16_67_ms` | 5.000 | 5.000 | +0.0% |
| `representative_combat.enemy_round_matrix.specialists.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
| `representative_combat.enemy_round_matrix.specialists.total_ms` | 14760.540 | 14743.615 | -0.1% |
| `representative_combat.enemy_round_matrix.specialists.draw_calls.median` | 663.000 | 663.000 | +0.0% |
| `representative_combat.enemy_round_matrix.specialists.draw_calls.max` | 1163.000 | 1169.000 | +0.5% |
| `representative_combat.action_matrix.pale_spark.frame_interval_ms.median` | 8.337 | 8.337 | +0.0% |
| `representative_combat.action_matrix.pale_spark.frame_interval_ms.p95` | 8.493 | 8.486 | -0.1% |
| `representative_combat.action_matrix.pale_spark.frame_interval_ms.p99` | 19.202 | 15.627 | -18.6% |
| `representative_combat.action_matrix.pale_spark.frame_interval_ms.max` | 36.892 | 33.665 | -8.7% |
| `representative_combat.action_matrix.pale_spark.frames_over_16_67_ms` | 2.000 | 1.000 | -50.0% |
| `representative_combat.action_matrix.pale_spark.frames_over_33_33_ms` | 1.000 | 1.000 | +0.0% |
| `representative_combat.action_matrix.pale_spark.action_completion_ms` | 1585.464 | 1598.592 | +0.8% |
| `representative_combat.action_matrix.pale_spark.draw_calls.median` | 635.000 | 633.000 | -0.3% |
| `representative_combat.action_matrix.pale_spark.draw_calls.max` | 1001.000 | 1002.000 | +0.1% |
| `representative_combat.action_matrix.sidestep_slash.frame_interval_ms.median` | 8.323 | 8.327 | +0.0% |
| `representative_combat.action_matrix.sidestep_slash.frame_interval_ms.p95` | 9.554 | 9.765 | +2.2% |
| `representative_combat.action_matrix.sidestep_slash.frame_interval_ms.p99` | 17.992 | 16.571 | -7.9% |
| `representative_combat.action_matrix.sidestep_slash.frame_interval_ms.max` | 21.881 | 19.610 | -10.4% |
| `representative_combat.action_matrix.sidestep_slash.frames_over_16_67_ms` | 3.000 | 2.000 | -33.3% |
| `representative_combat.action_matrix.sidestep_slash.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
| `representative_combat.action_matrix.sidestep_slash.action_completion_ms` | 2332.743 | 2322.330 | -0.4% |
| `representative_combat.action_matrix.sidestep_slash.draw_calls.median` | 730.000 | 724.000 | -0.8% |
| `representative_combat.action_matrix.sidestep_slash.draw_calls.max` | 1003.000 | 995.000 | -0.8% |
| `representative_combat.action_matrix.glowstone_ward.frame_interval_ms.median` | 8.346 | 8.346 | +0.0% |
| `representative_combat.action_matrix.glowstone_ward.frame_interval_ms.p95` | 8.449 | 8.492 | +0.5% |
| `representative_combat.action_matrix.glowstone_ward.frame_interval_ms.p99` | 10.880 | 12.329 | +13.3% |
| `representative_combat.action_matrix.glowstone_ward.frame_interval_ms.max` | 22.632 | 18.403 | -18.7% |
| `representative_combat.action_matrix.glowstone_ward.frames_over_16_67_ms` | 2.000 | 2.000 | +0.0% |
| `representative_combat.action_matrix.glowstone_ward.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
| `representative_combat.action_matrix.glowstone_ward.action_completion_ms` | 1689.669 | 1681.254 | -0.5% |
| `representative_combat.action_matrix.glowstone_ward.draw_calls.median` | 640.000 | 640.000 | +0.0% |
| `representative_combat.action_matrix.glowstone_ward.draw_calls.max` | 982.000 | 987.000 | +0.5% |
| `representative_combat.action_matrix.gust_step.frame_interval_ms.median` | 8.332 | 8.343 | +0.1% |
| `representative_combat.action_matrix.gust_step.frame_interval_ms.p95` | 8.516 | 8.506 | -0.1% |
| `representative_combat.action_matrix.gust_step.frame_interval_ms.p99` | 17.782 | 16.765 | -5.7% |
| `representative_combat.action_matrix.gust_step.frame_interval_ms.max` | 24.741 | 20.440 | -17.4% |
| `representative_combat.action_matrix.gust_step.frames_over_16_67_ms` | 4.000 | 3.000 | -25.0% |
| `representative_combat.action_matrix.gust_step.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
| `representative_combat.action_matrix.gust_step.action_completion_ms` | 1925.781 | 1932.943 | +0.4% |
| `representative_combat.action_matrix.gust_step.draw_calls.median` | 692.000 | 684.000 | -1.2% |
| `representative_combat.action_matrix.gust_step.draw_calls.max` | 1064.000 | 1058.000 | -0.6% |
| `representative_combat.action_matrix.wildfire_halo.frame_interval_ms.median` | 8.350 | 8.335 | -0.2% |
| `representative_combat.action_matrix.wildfire_halo.frame_interval_ms.p95` | 8.874 | 8.883 | +0.1% |
| `representative_combat.action_matrix.wildfire_halo.frame_interval_ms.p99` | 11.471 | 12.670 | +10.5% |
| `representative_combat.action_matrix.wildfire_halo.frame_interval_ms.max` | 36.610 | 31.634 | -13.6% |
| `representative_combat.action_matrix.wildfire_halo.frames_over_16_67_ms` | 2.000 | 2.000 | +0.0% |
| `representative_combat.action_matrix.wildfire_halo.frames_over_33_33_ms` | 1.000 | 0.000 | -100.0% |
| `representative_combat.action_matrix.wildfire_halo.action_completion_ms` | 2432.434 | 2415.642 | -0.7% |
| `representative_combat.action_matrix.wildfire_halo.draw_calls.median` | 745.000 | 739.000 | -0.8% |
| `representative_combat.action_matrix.wildfire_halo.draw_calls.max` | 1036.000 | 1036.000 | +0.0% |
| `representative_combat.action_matrix.shadow_step.frame_interval_ms.median` | 8.326 | 8.345 | +0.2% |
| `representative_combat.action_matrix.shadow_step.frame_interval_ms.p95` | 8.499 | 8.581 | +1.0% |
| `representative_combat.action_matrix.shadow_step.frame_interval_ms.p99` | 19.588 | 17.636 | -10.0% |
| `representative_combat.action_matrix.shadow_step.frame_interval_ms.max` | 21.773 | 19.792 | -9.1% |
| `representative_combat.action_matrix.shadow_step.frames_over_16_67_ms` | 3.000 | 3.000 | +0.0% |
| `representative_combat.action_matrix.shadow_step.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
| `representative_combat.action_matrix.shadow_step.action_completion_ms` | 2085.881 | 2106.926 | +1.0% |
| `representative_combat.action_matrix.shadow_step.draw_calls.median` | 736.000 | 735.000 | -0.1% |
| `representative_combat.action_matrix.shadow_step.draw_calls.max` | 1081.000 | 1081.000 | +0.0% |
| `representative_combat.ability_action_matrix.quick_wits.frame_interval_ms.median` | 8.322 | 8.341 | +0.2% |
| `representative_combat.ability_action_matrix.quick_wits.frame_interval_ms.p95` | 16.211 | 14.607 | -9.9% |
| `representative_combat.ability_action_matrix.quick_wits.frame_interval_ms.p99` | 39.725 | 40.609 | +2.2% |
| `representative_combat.ability_action_matrix.quick_wits.frame_interval_ms.max` | 39.725 | 40.609 | +2.2% |
| `representative_combat.ability_action_matrix.quick_wits.frames_over_16_67_ms` | 4.000 | 4.000 | +0.0% |
| `representative_combat.ability_action_matrix.quick_wits.frames_over_33_33_ms` | 1.000 | 1.000 | +0.0% |
| `representative_combat.ability_action_matrix.quick_wits.total_ms` | 815.784 | 824.836 | +1.1% |
| `representative_combat.ability_action_matrix.quick_wits.draw_calls.median` | 1042.000 | 1042.000 | +0.0% |
| `representative_combat.ability_action_matrix.quick_wits.draw_calls.max` | 1135.000 | 1134.000 | -0.1% |
