| Metric | Baseline | Candidate | Change |
|---|---:|---:|---:|
| `runtime_frame.idle.frame_interval_ms.median` | 8.352 | 8.352 | +0.0% |
| `runtime_frame.idle.frame_interval_ms.p95` | 9.066 | 9.083 | +0.2% |
| `runtime_frame.idle.render_setup_cpu_ms.median` | 0.007 | 0.007 | +0.0% |
| `runtime_frame.idle.viewport_render_cpu_ms.median` | 0.446 | 0.457 | +2.5% |
| `runtime_frame.idle.frames_over_16_67_ms` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.median` | 6.606 | 6.192 | -6.3% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.p95` | 6.606 | 6.192 | -6.3% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.median` | 0.243 | 0.291 | +19.8% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.p95` | 0.243 | 0.291 | +19.8% |
| `runtime_frame.cold_interaction.rendered_frames.frame_interval_ms.p95` | 15.610 | 13.188 | -15.5% |
| `runtime_frame.cold_interaction.rendered_frames.frames_over_16_67_ms` | 1.000 | 0.000 | -100.0% |
| `runtime_frame.card_click_handler.duration_ms.median` | 5.185 | 4.910 | -5.3% |
| `runtime_frame.card_click_handler.duration_ms.p95` | 7.235 | 7.049 | -2.6% |
| `runtime_frame.card_click_frame_completion.duration_ms.p95` | 183.526 | 182.693 | -0.5% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.median` | 0.129 | 0.152 | +17.8% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.p95` | 0.285 | 0.364 | +27.7% |
| `runtime_frame.cold_preview_hover_frame_completion.duration_ms.p95` | 16.395 | 15.711 | -4.2% |
| `runtime_frame.cold_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.preview_hover_handler.duration_ms.median` | 0.108 | 0.108 | +0.0% |
| `runtime_frame.preview_hover_handler.duration_ms.p95` | 0.202 | 0.195 | -3.5% |
| `runtime_frame.preview_hover_frame_completion.duration_ms.p95` | 14.176 | 13.688 | -3.4% |
| `runtime_frame.warm_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.target_step_completion.duration_ms.p95` | 1346.263 | 1348.306 | +0.2% |
| `runtime_frame.action_completion.duration_ms.p95` | 1354.267 | 1354.853 | +0.0% |
| `runtime_frame.action_play.frame_interval_ms.median` | 8.332 | 8.332 | +0.0% |
| `runtime_frame.action_play.frame_interval_ms.p95` | 9.765 | 9.786 | +0.2% |
| `runtime_frame.action_play.render_setup_cpu_ms.median` | 0.009 | 0.010 | +11.1% |
| `runtime_frame.action_play.viewport_render_cpu_ms.median` | 0.439 | 0.439 | +0.0% |
| `runtime_frame.action_play.frames_over_16_67_ms` | 8.000 | 8.000 | +0.0% |
| `runtime_frame.action_play.frames_over_33_33_ms` | 1.000 | 0.000 | -100.0% |
| `runtime_frame.static_memory_bytes` | 342233686.000 | 342615899.000 | +0.1% |
