| Metric | Baseline | Candidate | Change |
|---|---:|---:|---:|
| `runtime_frame.idle.frame_interval_ms.median` | 8.361 | 8.367 | +0.1% |
| `runtime_frame.idle.frame_interval_ms.p95` | 8.499 | 8.469 | -0.4% |
| `runtime_frame.idle.render_setup_cpu_ms.median` | 0.019 | 0.021 | +10.5% |
| `runtime_frame.idle.viewport_render_cpu_ms.median` | 0.591 | 0.589 | -0.3% |
| `runtime_frame.idle.frames_over_16_67_ms` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.median` | 6.317 | 6.375 | +0.9% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.p95` | 6.317 | 6.375 | +0.9% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.median` | 0.221 | 0.252 | +14.0% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.p95` | 0.221 | 0.252 | +14.0% |
| `runtime_frame.cold_interaction.rendered_frames.frame_interval_ms.p95` | 15.177 | 15.481 | +2.0% |
| `runtime_frame.cold_interaction.rendered_frames.frames_over_16_67_ms` | 1.000 | 0.000 | -100.0% |
| `runtime_frame.card_click_handler.duration_ms.median` | 5.330 | 5.290 | -0.8% |
| `runtime_frame.card_click_handler.duration_ms.p95` | 7.355 | 7.071 | -3.9% |
| `runtime_frame.card_click_frame_completion.duration_ms.p95` | 185.911 | 180.723 | -2.8% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.median` | 0.116 | 0.119 | +2.6% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.p95` | 0.300 | 0.277 | -7.7% |
| `runtime_frame.cold_preview_hover_frame_completion.duration_ms.p95` | 17.555 | 17.613 | +0.3% |
| `runtime_frame.cold_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.preview_hover_handler.duration_ms.median` | 0.120 | 0.114 | -5.0% |
| `runtime_frame.preview_hover_handler.duration_ms.p95` | 0.194 | 0.198 | +2.1% |
| `runtime_frame.preview_hover_frame_completion.duration_ms.p95` | 15.346 | 16.012 | +4.3% |
| `runtime_frame.warm_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.target_step_completion.duration_ms.p95` | 2561.322 | 2543.001 | -0.7% |
| `runtime_frame.action_completion.duration_ms.p95` | 2568.775 | 2547.820 | -0.8% |
| `runtime_frame.action_play.frame_interval_ms.median` | 8.349 | 8.351 | +0.0% |
| `runtime_frame.action_play.frame_interval_ms.p95` | 9.459 | 9.467 | +0.1% |
| `runtime_frame.action_play.render_setup_cpu_ms.median` | 0.020 | 0.022 | +10.0% |
| `runtime_frame.action_play.viewport_render_cpu_ms.median` | 0.379 | 0.401 | +5.8% |
| `runtime_frame.action_play.frames_over_16_67_ms` | 23.000 | 24.000 | +4.3% |
| `runtime_frame.action_play.frames_over_33_33_ms` | 1.000 | 1.000 | +0.0% |
| `runtime_frame.static_memory_bytes` | 346045902.000 | 346562195.000 | +0.1% |
