| Metric | Baseline | Candidate | Change |
|---|---:|---:|---:|
| `runtime_frame.idle.frame_interval_ms.median` | 8.368 | 8.351 | -0.2% |
| `runtime_frame.idle.frame_interval_ms.p95` | 8.486 | 8.485 | -0.0% |
| `runtime_frame.idle.render_setup_cpu_ms.median` | 0.020 | 0.018 | -10.0% |
| `runtime_frame.idle.viewport_render_cpu_ms.median` | 0.554 | 0.561 | +1.3% |
| `runtime_frame.idle.frames_over_16_67_ms` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.median` | 6.483 | 6.300 | -2.8% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.p95` | 6.483 | 6.300 | -2.8% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.median` | 0.228 | 0.231 | +1.3% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.p95` | 0.228 | 0.231 | +1.3% |
| `runtime_frame.cold_interaction.rendered_frames.frame_interval_ms.p95` | 14.574 | 14.283 | -2.0% |
| `runtime_frame.cold_interaction.rendered_frames.frames_over_16_67_ms` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.card_click_handler.duration_ms.median` | 5.237 | 5.244 | +0.1% |
| `runtime_frame.card_click_handler.duration_ms.p95` | 6.787 | 7.179 | +5.8% |
| `runtime_frame.card_click_frame_completion.duration_ms.p95` | 184.598 | 183.701 | -0.5% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.median` | 0.120 | 0.112 | -6.7% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.p95` | 0.250 | 0.283 | +13.2% |
| `runtime_frame.cold_preview_hover_frame_completion.duration_ms.p95` | 17.285 | 16.441 | -4.9% |
| `runtime_frame.cold_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.preview_hover_handler.duration_ms.median` | 0.108 | 0.112 | +3.7% |
| `runtime_frame.preview_hover_handler.duration_ms.p95` | 0.185 | 0.167 | -9.7% |
| `runtime_frame.preview_hover_frame_completion.duration_ms.p95` | 15.364 | 15.692 | +2.1% |
| `runtime_frame.warm_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.target_step_completion.duration_ms.p95` | 2544.697 | 2530.815 | -0.5% |
| `runtime_frame.action_completion.duration_ms.p95` | 2550.860 | 2536.454 | -0.6% |
| `runtime_frame.action_play.frame_interval_ms.median` | 8.352 | 8.350 | -0.0% |
| `runtime_frame.action_play.frame_interval_ms.p95` | 10.783 | 9.938 | -7.8% |
| `runtime_frame.action_play.render_setup_cpu_ms.median` | 0.022 | 0.020 | -9.1% |
| `runtime_frame.action_play.viewport_render_cpu_ms.median` | 0.384 | 0.387 | +0.8% |
| `runtime_frame.action_play.frames_over_16_67_ms` | 23.000 | 26.000 | +13.0% |
| `runtime_frame.action_play.frames_over_33_33_ms` | 1.000 | 1.000 | +0.0% |
| `runtime_frame.static_memory_bytes` | 346723398.000 | 346547858.000 | -0.1% |
