| Metric | Baseline | Candidate | Change |
|---|---:|---:|---:|
| `representative_combat.idle.frame_interval_ms.median` | 8.324 | 8.324 | +0.0% |
| `representative_combat.idle.frame_interval_ms.p95` | 8.847 | 8.760 | -1.0% |
| `representative_combat.idle.frame_interval_ms.p99` | 8.971 | 8.892 | -0.9% |
| `representative_combat.idle.frame_interval_ms.max` | 390.796 | 390.932 | +0.0% |
| `representative_combat.idle.frames_over_16_67_ms` | 1.000 | 1.000 | +0.0% |
| `representative_combat.idle.frames_over_33_33_ms` | 1.000 | 1.000 | +0.0% |
| `representative_combat.idle.draw_calls.median` | 687.000 | 683.000 | -0.6% |
| `representative_combat.idle.draw_calls.max` | 687.000 | 687.000 | +0.0% |
| `representative_combat.movement_pool_action.frame_interval_ms.median` | 8.327 | 8.336 | +0.1% |
| `representative_combat.movement_pool_action.frame_interval_ms.p95` | 8.557 | 8.508 | -0.6% |
| `representative_combat.movement_pool_action.frame_interval_ms.p99` | 24.881 | 22.634 | -9.0% |
| `representative_combat.movement_pool_action.frame_interval_ms.max` | 24.881 | 22.634 | -9.0% |
| `representative_combat.movement_pool_action.frames_over_16_67_ms` | 2.000 | 1.000 | -50.0% |
| `representative_combat.movement_pool_action.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
| `representative_combat.movement_pool_action.action_completion_ms` | 609.449 | 607.872 | -0.3% |
| `representative_combat.movement_pool_action.draw_calls.median` | 821.000 | 821.000 | +0.0% |
| `representative_combat.movement_pool_action.draw_calls.max` | 842.000 | 842.000 | +0.0% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.median` | 8.336 | 8.335 | -0.0% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.p95` | 8.671 | 8.648 | -0.3% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.p99` | 10.213 | 9.122 | -10.7% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.max` | 38.667 | 31.065 | -19.7% |
| `representative_combat.enemy_round_matrix.specialists.frames_over_16_67_ms` | 6.000 | 4.000 | -33.3% |
| `representative_combat.enemy_round_matrix.specialists.frames_over_33_33_ms` | 1.000 | 0.000 | -100.0% |
| `representative_combat.enemy_round_matrix.specialists.total_ms` | 9740.471 | 9524.303 | -2.2% |
| `representative_combat.enemy_round_matrix.specialists.draw_calls.median` | 330.000 | 332.000 | +0.6% |
| `representative_combat.enemy_round_matrix.specialists.draw_calls.max` | 944.000 | 945.000 | +0.1% |
| `representative_combat.action_matrix.pale_spark.frame_interval_ms.median` | 8.324 | 8.333 | +0.1% |
| `representative_combat.action_matrix.pale_spark.frame_interval_ms.p95` | 8.730 | 8.704 | -0.3% |
| `representative_combat.action_matrix.pale_spark.frame_interval_ms.p99` | 23.496 | 17.682 | -24.7% |
| `representative_combat.action_matrix.pale_spark.frame_interval_ms.max` | 38.300 | 31.062 | -18.9% |
| `representative_combat.action_matrix.pale_spark.frames_over_16_67_ms` | 2.000 | 2.000 | +0.0% |
| `representative_combat.action_matrix.pale_spark.frames_over_33_33_ms` | 1.000 | 0.000 | -100.0% |
| `representative_combat.action_matrix.pale_spark.action_completion_ms` | 1599.039 | 1591.227 | -0.5% |
| `representative_combat.action_matrix.pale_spark.draw_calls.median` | 339.000 | 339.000 | +0.0% |
| `representative_combat.action_matrix.pale_spark.draw_calls.max` | 651.000 | 647.000 | -0.6% |
| `representative_combat.action_matrix.sidestep_slash.frame_interval_ms.median` | 8.329 | 8.343 | +0.2% |
| `representative_combat.action_matrix.sidestep_slash.frame_interval_ms.p95` | 8.509 | 8.453 | -0.7% |
| `representative_combat.action_matrix.sidestep_slash.frame_interval_ms.p99` | 19.363 | 17.274 | -10.8% |
| `representative_combat.action_matrix.sidestep_slash.frame_interval_ms.max` | 25.565 | 18.165 | -28.9% |
| `representative_combat.action_matrix.sidestep_slash.frames_over_16_67_ms` | 3.000 | 3.000 | +0.0% |
| `representative_combat.action_matrix.sidestep_slash.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
| `representative_combat.action_matrix.sidestep_slash.action_completion_ms` | 1857.928 | 1841.169 | -0.9% |
| `representative_combat.action_matrix.sidestep_slash.draw_calls.median` | 486.000 | 490.000 | +0.8% |
| `representative_combat.action_matrix.sidestep_slash.draw_calls.max` | 641.000 | 649.000 | +1.2% |
| `representative_combat.action_matrix.glowstone_ward.frame_interval_ms.median` | 8.327 | 8.346 | +0.2% |
| `representative_combat.action_matrix.glowstone_ward.frame_interval_ms.p95` | 8.725 | 8.723 | -0.0% |
| `representative_combat.action_matrix.glowstone_ward.frame_interval_ms.p99` | 10.515 | 9.545 | -9.2% |
| `representative_combat.action_matrix.glowstone_ward.frame_interval_ms.max` | 31.910 | 17.272 | -45.9% |
| `representative_combat.action_matrix.glowstone_ward.frames_over_16_67_ms` | 2.000 | 2.000 | +0.0% |
| `representative_combat.action_matrix.glowstone_ward.frames_over_33_33_ms` | 0.000 | 0.000 | +0.0% |
