| Metric | Baseline | Candidate | Change |
|---|---:|---:|---:|
| `runtime_frame.idle.frame_interval_ms.median` | 8.362 | 8.342 | -0.2% |
| `runtime_frame.idle.frame_interval_ms.p95` | 8.481 | 8.519 | +0.4% |
| `runtime_frame.idle.render_setup_cpu_ms.median` | 0.017 | 0.020 | +17.6% |
| `runtime_frame.idle.viewport_render_cpu_ms.median` | 0.517 | 0.531 | +2.7% |
| `runtime_frame.idle.frames_over_16_67_ms` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.median` | 8.125 | 6.148 | -24.3% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.p95` | 8.125 | 6.148 | -24.3% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.median` | 2.557 | 0.095 | -96.3% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.p95` | 2.557 | 0.095 | -96.3% |
| `runtime_frame.cold_interaction.rendered_frames.frame_interval_ms.p95` | 15.137 | 14.251 | -5.9% |
| `runtime_frame.cold_interaction.rendered_frames.frames_over_16_67_ms` | 1.000 | 0.000 | -100.0% |
| `runtime_frame.card_click_handler.duration_ms.median` | 7.657 | 5.720 | -25.3% |
| `runtime_frame.card_click_handler.duration_ms.p95` | 8.303 | 6.423 | -22.6% |
| `runtime_frame.card_click_frame_completion.duration_ms.p95` | 186.202 | 181.416 | -2.6% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.median` | 3.255 | 0.118 | -96.4% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.p95` | 12.434 | 0.192 | -98.5% |
| `runtime_frame.cold_preview_hover_frame_completion.duration_ms.p95` | 25.374 | 22.326 | -12.0% |
| `runtime_frame.cold_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.preview_hover_handler.duration_ms.median` | 2.138 | 0.113 | -94.7% |
| `runtime_frame.preview_hover_handler.duration_ms.p95` | 10.140 | 0.183 | -98.2% |
| `runtime_frame.preview_hover_frame_completion.duration_ms.p95` | 23.072 | 21.562 | -6.5% |
| `runtime_frame.warm_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.target_step_completion.duration_ms.p95` | 3427.006 | 3349.041 | -2.3% |
| `runtime_frame.action_completion.duration_ms.p95` | 3429.899 | 3354.022 | -2.2% |
| `runtime_frame.action_play.frame_interval_ms.median` | 8.359 | 8.345 | -0.2% |
| `runtime_frame.action_play.frame_interval_ms.p95` | 9.706 | 11.640 | +19.9% |
| `runtime_frame.action_play.render_setup_cpu_ms.median` | 0.021 | 0.023 | +9.5% |
| `runtime_frame.action_play.viewport_render_cpu_ms.median` | 0.386 | 0.375 | -2.8% |
| `runtime_frame.action_play.frames_over_16_67_ms` | 37.000 | 36.000 | -2.7% |
| `runtime_frame.action_play.frames_over_33_33_ms` | 14.000 | 3.000 | -78.6% |
| `runtime_frame.enemy_round_matrix.specialists.total_ms` | 17356.162 | 17063.158 | -1.7% |
| `runtime_frame.enemy_round_matrix.specialists.viewport_render_cpu_ms.median` | 0.390 | 0.376 | -3.6% |
| `runtime_frame.enemy_round_matrix.split_swarm.total_ms` | 19245.939 | 19189.246 | -0.3% |
| `runtime_frame.enemy_round_matrix.split_swarm.viewport_render_cpu_ms.median` | 0.424 | 0.427 | +0.7% |
| `runtime_frame.enemy_round_matrix.dragon_support.total_ms` | 10654.677 | 10580.832 | -0.7% |
| `runtime_frame.enemy_round_matrix.dragon_support.viewport_render_cpu_ms.median` | 0.360 | 0.351 | -2.5% |
| `runtime_frame.static_memory_bytes` | 377049352.000 | 376747072.000 | -0.1% |
| `runtime_frame.enemy_round_matrix.specialists.input_handler_ms` | 6.121 | 6.060 | -1.0% |
| `runtime_frame.enemy_round_matrix.specialists.frame_interval_ms.median` | 8.366 | 8.377 | +0.1% |
| `runtime_frame.enemy_round_matrix.specialists.frame_interval_ms.p95` | 8.606 | 8.588 | -0.2% |
| `runtime_frame.enemy_round_matrix.specialists.frame_interval_ms.p99` | 17.418 | 15.613 | -10.4% |
| `runtime_frame.enemy_round_matrix.specialists.frame_interval_ms.max` | 43.107 | 29.631 | -31.3% |
| `runtime_frame.enemy_round_matrix.specialists.frames_over_16_67_ms` | 22.000 | 13.000 | -40.9% |
| `runtime_frame.enemy_round_matrix.specialists.frames_over_33_33_ms` | 2.000 | 0.000 | -100.0% |
| `runtime_frame.enemy_round_matrix.split_swarm.input_handler_ms` | 5.361 | 5.338 | -0.4% |
| `runtime_frame.enemy_round_matrix.split_swarm.frame_interval_ms.median` | 8.362 | 8.364 | +0.0% |
| `runtime_frame.enemy_round_matrix.split_swarm.frame_interval_ms.p95` | 8.710 | 8.562 | -1.7% |
| `runtime_frame.enemy_round_matrix.split_swarm.frame_interval_ms.p99` | 16.807 | 15.000 | -10.8% |
| `runtime_frame.enemy_round_matrix.split_swarm.frame_interval_ms.max` | 42.057 | 35.682 | -15.2% |
| `runtime_frame.enemy_round_matrix.split_swarm.frames_over_16_67_ms` | 23.000 | 11.000 | -52.2% |
| `runtime_frame.enemy_round_matrix.split_swarm.frames_over_33_33_ms` | 2.000 | 1.000 | -50.0% |
| `runtime_frame.enemy_round_matrix.dragon_support.input_handler_ms` | 5.091 | 4.825 | -5.2% |
| `runtime_frame.enemy_round_matrix.dragon_support.frame_interval_ms.median` | 8.370 | 8.369 | -0.0% |
| `runtime_frame.enemy_round_matrix.dragon_support.frame_interval_ms.p95` | 12.686 | 12.286 | -3.2% |
| `runtime_frame.enemy_round_matrix.dragon_support.frame_interval_ms.p99` | 16.302 | 15.730 | -3.5% |
| `runtime_frame.enemy_round_matrix.dragon_support.frame_interval_ms.max` | 36.386 | 29.835 | -18.0% |
| `runtime_frame.enemy_round_matrix.dragon_support.frames_over_16_67_ms` | 7.000 | 6.000 | -14.3% |
| `runtime_frame.enemy_round_matrix.dragon_support.frames_over_33_33_ms` | 2.000 | 0.000 | -100.0% |
