| Metric | Baseline | Candidate | Change |
|---|---:|---:|---:|
| `representative_combat.idle.frame_interval_ms.median` | 8.349 | 8.334 | -0.2% |
| `representative_combat.idle.frame_interval_ms.p95` | 9.016 | 9.027 | +0.1% |
| `representative_combat.idle.frame_interval_ms.p99` | 9.248 | 9.152 | -1.0% |
| `representative_combat.idle.frame_interval_ms.max` | 392.665 | 389.937 | -0.7% |
| `representative_combat.idle.frames_over_16_67_ms` | 1.000 | 1.000 | +0.0% |
| `representative_combat.idle.frames_over_33_33_ms` | 1.000 | 1.000 | +0.0% |
| `representative_combat.idle.draw_calls.median` | 1008.000 | 1004.000 | -0.4% |
| `representative_combat.idle.draw_calls.max` | 1011.000 | 1009.000 | -0.2% |
| `representative_combat.movement_pool_action.frame_interval_ms.median` | 8.318 | 8.334 | +0.2% |
| `representative_combat.movement_pool_action.frame_interval_ms.p95` | 8.523 | 8.514 | -0.1% |
| `representative_combat.movement_pool_action.frame_interval_ms.p99` | 42.972 | 28.080 | -34.7% |
| `representative_combat.movement_pool_action.frame_interval_ms.max` | 42.972 | 28.080 | -34.7% |
| `representative_combat.movement_pool_action.frames_over_16_67_ms` | 2.000 | 1.000 | -50.0% |
| `representative_combat.movement_pool_action.frames_over_33_33_ms` | 1.000 | 0.000 | -100.0% |
| `representative_combat.movement_pool_action.action_completion_ms` | 633.600 | 607.204 | -4.2% |
| `representative_combat.movement_pool_action.draw_calls.median` | 1143.000 | 1142.000 | -0.1% |
| `representative_combat.movement_pool_action.draw_calls.max` | 1934.000 | 1164.000 | -39.8% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.median` | 8.336 | 8.339 | +0.0% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.p95` | 8.830 | 8.837 | +0.1% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.p99` | 14.653 | 14.256 | -2.7% |
| `representative_combat.enemy_round_matrix.specialists.frame_interval_ms.max` | 35.957 | 27.122 | -24.6% |
| `representative_combat.enemy_round_matrix.specialists.frames_over_16_67_ms` | 5.000 | 3.000 | -40.0% |
| `representative_combat.enemy_round_matrix.specialists.frames_over_33_33_ms` | 2.000 | 0.000 | -100.0% |
| `representative_combat.enemy_round_matrix.specialists.total_ms` | 14932.616 | 14705.558 | -1.5% |
| `representative_combat.enemy_round_matrix.specialists.draw_calls.median` | 631.000 | 631.000 | +0.0% |
| `representative_combat.enemy_round_matrix.specialists.draw_calls.max` | 1905.000 | 1136.000 | -40.4% |
| `representative_combat.action_matrix.pale_spark.frame_interval_ms.median` | 8.338 | 8.340 | +0.0% |
| `representative_combat.action_matrix.pale_spark.frame_interval_ms.p95` | 8.468 | 8.461 | -0.1% |
| `representative_combat.action_matrix.pale_spark.frame_interval_ms.p99` | 41.189 | 19.143 | -53.5% |
| `representative_combat.action_matrix.pale_spark.frame_interval_ms.max` | 52.910 | 37.819 | -28.5% |
| `representative_combat.action_matrix.pale_spark.frames_over_16_67_ms` | 2.000 | 2.000 | +0.0% |
| `representative_combat.action_matrix.pale_spark.frames_over_33_33_ms` | 2.000 | 1.000 | -50.0% |
| `representative_combat.action_matrix.pale_spark.action_completion_ms` | 1640.153 | 1601.916 | -2.3% |
| `representative_combat.action_matrix.pale_spark.draw_calls.median` | 602.000 | 601.000 | -0.2% |
| `representative_combat.action_matrix.pale_spark.draw_calls.max` | 1717.000 | 974.000 | -43.3% |
| `representative_combat.action_matrix.sidestep_slash.frame_interval_ms.median` | 8.341 | 8.335 | -0.1% |
| `representative_combat.action_matrix.sidestep_slash.frame_interval_ms.p95` | 8.624 | 9.575 | +11.0% |
| `representative_combat.action_matrix.sidestep_slash.frame_interval_ms.p99` | 26.237 | 17.216 | -34.4% |
| `representative_combat.action_matrix.sidestep_slash.frame_interval_ms.max` | 42.702 | 22.177 | -48.1% |
| `representative_combat.action_matrix.sidestep_slash.frames_over_16_67_ms` | 3.000 | 3.000 | +0.0% |
| `representative_combat.action_matrix.sidestep_slash.frames_over_33_33_ms` | 1.000 | 0.000 | -100.0% |
| `representative_combat.action_matrix.sidestep_slash.action_completion_ms` | 2342.100 | 2324.309 | -0.8% |
| `representative_combat.action_matrix.sidestep_slash.draw_calls.median` | 745.000 | 693.000 | -7.0% |
| `representative_combat.action_matrix.sidestep_slash.draw_calls.max` | 1719.000 | 963.000 | -44.0% |
| `representative_combat.action_matrix.glowstone_ward.frame_interval_ms.median` | 8.357 | 8.344 | -0.2% |
| `representative_combat.action_matrix.glowstone_ward.frame_interval_ms.p95` | 8.469 | 8.456 | -0.2% |
| `representative_combat.action_matrix.glowstone_ward.frame_interval_ms.p99` | 16.612 | 10.912 | -34.3% |
| `representative_combat.action_matrix.glowstone_ward.frame_interval_ms.max` | 51.509 | 19.823 | -61.5% |
| `representative_combat.action_matrix.glowstone_ward.frames_over_16_67_ms` | 2.000 | 2.000 | +0.0% |
| `representative_combat.action_matrix.glowstone_ward.frames_over_33_33_ms` | 1.000 | 0.000 | -100.0% |
| `representative_combat.action_matrix.glowstone_ward.action_completion_ms` | 1713.879 | 1672.493 | -2.4% |
| `representative_combat.action_matrix.glowstone_ward.draw_calls.median` | 608.000 | 609.000 | +0.2% |
| `representative_combat.action_matrix.glowstone_ward.draw_calls.max` | 1710.000 | 955.000 | -44.2% |
| `representative_combat.action_matrix.gust_step.frame_interval_ms.median` | 8.343 | 8.344 | +0.0% |
| `representative_combat.action_matrix.gust_step.frame_interval_ms.p95` | 8.481 | 8.480 | -0.0% |
| `representative_combat.action_matrix.gust_step.frame_interval_ms.p99` | 30.808 | 18.914 | -38.6% |
| `representative_combat.action_matrix.gust_step.frame_interval_ms.max` | 48.571 | 22.160 | -54.4% |
| `representative_combat.action_matrix.gust_step.frames_over_16_67_ms` | 5.000 | 3.000 | -40.0% |
| `representative_combat.action_matrix.gust_step.frames_over_33_33_ms` | 1.000 | 0.000 | -100.0% |
| `representative_combat.action_matrix.gust_step.action_completion_ms` | 1981.733 | 1917.856 | -3.2% |
| `representative_combat.action_matrix.gust_step.draw_calls.median` | 659.000 | 653.000 | -0.9% |
| `representative_combat.action_matrix.gust_step.draw_calls.max` | 1707.000 | 1065.000 | -37.6% |
| `representative_combat.action_matrix.wildfire_halo.frame_interval_ms.median` | 8.335 | 8.327 | -0.1% |
| `representative_combat.action_matrix.wildfire_halo.frame_interval_ms.p95` | 11.746 | 8.862 | -24.6% |
| `representative_combat.action_matrix.wildfire_halo.frame_interval_ms.p99` | 17.313 | 13.161 | -24.0% |
| `representative_combat.action_matrix.wildfire_halo.frame_interval_ms.max` | 60.389 | 34.397 | -43.0% |
| `representative_combat.action_matrix.wildfire_halo.frames_over_16_67_ms` | 3.000 | 2.000 | -33.3% |
| `representative_combat.action_matrix.wildfire_halo.frames_over_33_33_ms` | 2.000 | 1.000 | -50.0% |
| `representative_combat.action_matrix.wildfire_halo.action_completion_ms` | 2506.328 | 2409.986 | -3.8% |
| `representative_combat.action_matrix.wildfire_halo.draw_calls.median` | 712.000 | 713.000 | +0.1% |
| `representative_combat.action_matrix.wildfire_halo.draw_calls.max` | 1595.000 | 1004.000 | -37.1% |
| `representative_combat.action_matrix.shadow_step.frame_interval_ms.median` | 8.336 | 8.333 | -0.0% |
| `representative_combat.action_matrix.shadow_step.frame_interval_ms.p95` | 9.039 | 8.507 | -5.9% |
| `representative_combat.action_matrix.shadow_step.frame_interval_ms.p99` | 22.716 | 17.245 | -24.1% |
| `representative_combat.action_matrix.shadow_step.frame_interval_ms.max` | 51.457 | 21.278 | -58.6% |
| `representative_combat.action_matrix.shadow_step.frames_over_16_67_ms` | 4.000 | 3.000 | -25.0% |
| `representative_combat.action_matrix.shadow_step.frames_over_33_33_ms` | 1.000 | 0.000 | -100.0% |
| `representative_combat.action_matrix.shadow_step.action_completion_ms` | 2142.321 | 2118.611 | -1.1% |
| `representative_combat.action_matrix.shadow_step.draw_calls.median` | 752.000 | 704.000 | -6.4% |
| `representative_combat.action_matrix.shadow_step.draw_calls.max` | 1797.000 | 1048.000 | -41.7% |
| `representative_combat.ability_action_matrix.quick_wits.frame_interval_ms.median` | 8.346 | 8.338 | -0.1% |
| `representative_combat.ability_action_matrix.quick_wits.frame_interval_ms.p95` | 15.038 | 13.680 | -9.0% |
| `representative_combat.ability_action_matrix.quick_wits.frame_interval_ms.p99` | 42.651 | 30.251 | -29.1% |
| `representative_combat.ability_action_matrix.quick_wits.frame_interval_ms.max` | 42.651 | 30.251 | -29.1% |
| `representative_combat.ability_action_matrix.quick_wits.frames_over_16_67_ms` | 4.000 | 2.000 | -50.0% |
| `representative_combat.ability_action_matrix.quick_wits.frames_over_33_33_ms` | 1.000 | 0.000 | -100.0% |
| `representative_combat.ability_action_matrix.quick_wits.total_ms` | 801.751 | 781.577 | -2.5% |
| `representative_combat.ability_action_matrix.quick_wits.draw_calls.median` | 1006.000 | 1010.000 | +0.4% |
| `representative_combat.ability_action_matrix.quick_wits.draw_calls.max` | 1139.000 | 1139.000 | +0.0% |
| `representative_combat.ability_action_matrix.encore.frame_interval_ms.median` | 8.351 | 8.332 | -0.2% |
| `representative_combat.ability_action_matrix.encore.frame_interval_ms.p95` | 18.482 | 13.586 | -26.5% |
| `representative_combat.ability_action_matrix.encore.frame_interval_ms.p99` | 43.912 | 29.759 | -32.2% |
| `representative_combat.ability_action_matrix.encore.frame_interval_ms.max` | 43.912 | 29.759 | -32.2% |
| `representative_combat.ability_action_matrix.encore.frames_over_16_67_ms` | 4.000 | 3.000 | -25.0% |
| `representative_combat.ability_action_matrix.encore.frames_over_33_33_ms` | 1.000 | 0.000 | -100.0% |
| `representative_combat.ability_action_matrix.encore.total_ms` | 586.010 | 557.059 | -4.9% |
| `representative_combat.ability_action_matrix.encore.draw_calls.median` | 1071.000 | 1068.000 | -0.3% |
| `representative_combat.ability_action_matrix.encore.draw_calls.max` | 1460.000 | 1461.000 | +0.1% |
