| Metric | Baseline | Candidate | Change |
|---|---:|---:|---:|
| `runtime_frame.idle.frame_interval_ms.median` | 8.350 | 8.352 | +0.0% |
| `runtime_frame.idle.frame_interval_ms.p95` | 9.159 | 8.834 | -3.5% |
| `runtime_frame.idle.render_setup_cpu_ms.median` | 0.007 | 0.007 | +0.0% |
| `runtime_frame.idle.viewport_render_cpu_ms.median` | 0.461 | 0.455 | -1.3% |
| `runtime_frame.idle.frames_over_16_67_ms` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.median` | 7.970 | 6.245 | -21.6% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.p95` | 7.970 | 6.245 | -21.6% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.median` | 2.557 | 0.088 | -96.6% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.p95` | 2.557 | 0.088 | -96.6% |
| `runtime_frame.cold_interaction.rendered_frames.frame_interval_ms.p95` | 13.002 | 12.941 | -0.5% |
| `runtime_frame.cold_interaction.rendered_frames.frames_over_16_67_ms` | 0.000 | 1.000 | n/a |
| `runtime_frame.card_click_handler.duration_ms.median` | 7.561 | 5.027 | -33.5% |
| `runtime_frame.card_click_handler.duration_ms.p95` | 8.460 | 6.393 | -24.4% |
| `runtime_frame.card_click_frame_completion.duration_ms.p95` | 181.338 | 181.754 | +0.2% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.median` | 2.594 | 0.109 | -95.8% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.p95` | 11.679 | 0.206 | -98.2% |
| `runtime_frame.cold_preview_hover_frame_completion.duration_ms.p95` | 20.209 | 16.073 | -20.5% |
| `runtime_frame.cold_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.preview_hover_handler.duration_ms.median` | 1.778 | 0.108 | -93.9% |
| `runtime_frame.preview_hover_handler.duration_ms.p95` | 9.597 | 0.198 | -97.9% |
| `runtime_frame.preview_hover_frame_completion.duration_ms.p95` | 16.926 | 14.088 | -16.8% |
| `runtime_frame.warm_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.target_step_completion.duration_ms.p95` | 1401.383 | 1390.685 | -0.8% |
| `runtime_frame.action_completion.duration_ms.p95` | 1405.922 | 1392.829 | -0.9% |
| `runtime_frame.action_play.frame_interval_ms.median` | 8.354 | 8.333 | -0.3% |
| `runtime_frame.action_play.frame_interval_ms.p95` | 11.418 | 9.769 | -14.4% |
| `runtime_frame.action_play.render_setup_cpu_ms.median` | 0.009 | 0.009 | +0.0% |
| `runtime_frame.action_play.viewport_render_cpu_ms.median` | 0.368 | 0.429 | +16.6% |
| `runtime_frame.action_play.frames_over_16_67_ms` | 10.000 | 9.000 | -10.0% |
| `runtime_frame.action_play.frames_over_33_33_ms` | 6.000 | 3.000 | -50.0% |
| `runtime_frame.static_memory_bytes` | 341858910.000 | 342221095.000 | +0.1% |
