| Metric | Baseline | Candidate | Change |
|---|---:|---:|---:|
| `runtime_frame.idle.frame_interval_ms.median` | 8.355 | 8.365 | +0.1% |
| `runtime_frame.idle.frame_interval_ms.p95` | 8.487 | 8.471 | -0.2% |
| `runtime_frame.idle.render_setup_cpu_ms.median` | 0.020 | 0.019 | -5.0% |
| `runtime_frame.idle.viewport_render_cpu_ms.median` | 0.499 | 0.485 | -2.8% |
| `runtime_frame.idle.frames_over_16_67_ms` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.median` | 8.100 | 6.177 | -23.7% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.p95` | 8.100 | 6.177 | -23.7% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.median` | 2.722 | 0.091 | -96.7% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.p95` | 2.722 | 0.091 | -96.7% |
| `runtime_frame.cold_interaction.rendered_frames.frame_interval_ms.p95` | 17.587 | 15.283 | -13.1% |
| `runtime_frame.cold_interaction.rendered_frames.frames_over_16_67_ms` | 2.000 | 1.000 | -50.0% |
| `runtime_frame.card_click_handler.duration_ms.median` | 6.806 | 5.128 | -24.7% |
| `runtime_frame.card_click_handler.duration_ms.p95` | 7.763 | 5.484 | -29.4% |
| `runtime_frame.card_click_frame_completion.duration_ms.p95` | 181.207 | 179.938 | -0.7% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.median` | 2.695 | 0.119 | -95.6% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.p95` | 11.669 | 0.186 | -98.4% |
| `runtime_frame.cold_preview_hover_frame_completion.duration_ms.p95` | 22.037 | 16.420 | -25.5% |
| `runtime_frame.cold_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.preview_hover_handler.duration_ms.median` | 1.828 | 0.115 | -93.7% |
| `runtime_frame.preview_hover_handler.duration_ms.p95` | 9.614 | 0.166 | -98.3% |
| `runtime_frame.preview_hover_frame_completion.duration_ms.p95` | 19.047 | 16.034 | -15.8% |
| `runtime_frame.warm_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.target_step_completion.duration_ms.p95` | 2588.309 | 2529.385 | -2.3% |
| `runtime_frame.action_completion.duration_ms.p95` | 2591.492 | 2536.217 | -2.1% |
| `runtime_frame.action_play.frame_interval_ms.median` | 8.351 | 8.358 | +0.1% |
| `runtime_frame.action_play.frame_interval_ms.p95` | 11.126 | 9.360 | -15.9% |
| `runtime_frame.action_play.render_setup_cpu_ms.median` | 0.020 | 0.021 | +5.0% |
| `runtime_frame.action_play.viewport_render_cpu_ms.median` | 0.369 | 0.358 | -3.0% |
| `runtime_frame.action_play.frames_over_16_67_ms` | 28.000 | 22.000 | -21.4% |
| `runtime_frame.action_play.frames_over_33_33_ms` | 5.000 | 1.000 | -80.0% |
| `runtime_frame.static_memory_bytes` | 346210027.000 | 345990716.000 | -0.1% |
