| Metric | Baseline | Candidate | Change |
|---|---:|---:|---:|
| `runtime_frame.idle.frame_interval_ms.median` | 8.342 | 8.292 | -0.6% |
| `runtime_frame.idle.frame_interval_ms.p95` | 8.631 | 8.636 | +0.1% |
| `runtime_frame.idle.render_setup_cpu_ms.median` | 0.020 | 0.018 | -10.0% |
| `runtime_frame.idle.viewport_render_cpu_ms.median` | 0.534 | 0.543 | +1.7% |
| `runtime_frame.idle.frames_over_16_67_ms` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.median` | 7.964 | 6.236 | -21.7% |
| `runtime_frame.cold_interaction.card_click_handler.duration_ms.p95` | 7.964 | 6.236 | -21.7% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.median` | 2.636 | 0.098 | -96.3% |
| `runtime_frame.cold_interaction.preview_hover_handler.duration_ms.p95` | 2.636 | 0.098 | -96.3% |
| `runtime_frame.cold_interaction.rendered_frames.frame_interval_ms.p95` | 17.882 | 16.122 | -9.8% |
| `runtime_frame.cold_interaction.rendered_frames.frames_over_16_67_ms` | 2.000 | 1.000 | -50.0% |
| `runtime_frame.card_click_handler.duration_ms.median` | 6.920 | 5.018 | -27.5% |
| `runtime_frame.card_click_handler.duration_ms.p95` | 7.564 | 5.480 | -27.6% |
| `runtime_frame.card_click_frame_completion.duration_ms.p95` | 181.931 | 179.500 | -1.3% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.median` | 2.705 | 0.115 | -95.7% |
| `runtime_frame.cold_preview_hover_handler.duration_ms.p95` | 11.801 | 0.197 | -98.3% |
| `runtime_frame.cold_preview_hover_frame_completion.duration_ms.p95` | 22.087 | 18.355 | -16.9% |
| `runtime_frame.cold_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.preview_hover_handler.duration_ms.median` | 1.792 | 0.116 | -93.5% |
| `runtime_frame.preview_hover_handler.duration_ms.p95` | 9.723 | 0.178 | -98.2% |
| `runtime_frame.preview_hover_frame_completion.duration_ms.p95` | 19.273 | 16.023 | -16.9% |
| `runtime_frame.warm_preview_canvas_pipeline_compilations` | 0.000 | 0.000 | +0.0% |
| `runtime_frame.target_step_completion.duration_ms.p95` | 2614.259 | 2538.916 | -2.9% |
| `runtime_frame.action_completion.duration_ms.p95` | 2617.373 | 2544.208 | -2.8% |
| `runtime_frame.action_play.frame_interval_ms.median` | 8.346 | 8.334 | -0.1% |
| `runtime_frame.action_play.frame_interval_ms.p95` | 11.143 | 10.601 | -4.9% |
| `runtime_frame.action_play.render_setup_cpu_ms.median` | 0.021 | 0.020 | -4.8% |
| `runtime_frame.action_play.viewport_render_cpu_ms.median` | 0.360 | 0.360 | +0.0% |
| `runtime_frame.action_play.frames_over_16_67_ms` | 27.000 | 25.000 | -7.4% |
| `runtime_frame.action_play.frames_over_33_33_ms` | 6.000 | 1.000 | -83.3% |
| `runtime_frame.static_memory_bytes` | 346247033.000 | 346681274.000 | +0.1% |
